5001,6039,1,1,1,0,0,264.72,477,467,3
10001,10952,1,2,0,1,0,157.68,183,205,4
15001,16055,0,1,0,1,0,168.26,213,214,4
20001,20920,1,2,0,1,0,107.96,111,129,3
25001,25913,0,1,0,1,0,113.92,128,150,3
30001,30892,1,2,0,1,0,103.02,109,131,4
35001,35982,0,1,0,1,0,113.1,131,142,3
40001,40836,1,2,0,1,0,80.98,66,85,3
45001,45948,0,1,0,1,0,97.74,96,108,3
50001,50867,1,2,0,1,0,70.48,46,57,4
55001,55938,0,1,0,1,0,92.62,87,99,4
60001,60898,1,2,0,1,0,70,52,62,3
65001,65902,0,1,0,1,0,76.24,59,70,4
70001,70780,1,2,0,1,0,64.76,36,50,4
75001,75737,0,1,0,1,0,68.24,42,62,4
80001,80533,1,2,0,1,0,61.38,27,57,4
85001,86024,0,1,0,1,0,67.46,55,57,4
90001,90700,1,2,0,1,0,58.94,32,50,3
95001,95788,0,1,0,1,0,67.28,43,59,4
1e+05,1.0052e+05,1,2,0,1,0,54.32,23,50,3
1.05e+05,1.058e+05,0,1,0,1,0,60.94,35,47,4
1.1e+05,1.104e+05,1,2,0,1,0,51,12,35,3
1.15e+05,1.1601e+05,0,1,0,1,0,55.26,36,38,4
1.2e+05,1.2051e+05,1,2,0,1,0,47.32,15,33,3
1.25e+05,1.2595e+05,0,1,0,1,0,52.42,32,36,3
1.3e+05,1.3053e+05,1,2,0,1,0,45.2,15,32,3
1.35e+05,1.3589e+05,0,1,0,1,0,47.74,25,30,4
1.4e+05,1.4034e+05,1,2,0,1,0,44.64,9,32,3
1.45e+05,1.4597e+05,0,1,0,1,0,45.46,21,23,3
1.5e+05,1.5041e+05,1,2,0,1,0,39.88,7,20,4
1.55e+05,1.558e+05,0,1,0,1,0,39.4,14,19,3
1.6e+05,1.6049e+05,1,2,0,1,0,36.76,6,14,4
1.65e+05,1.6592e+05,1,1,1,0,0,39.38,14,12,3
1.7e+05,1.7046e+05,1,2,0,1,0,32.56,4,10,4
1.75e+05,-999,0,1,0,0,1,39.22,12,12,3
1.8e+05,1.8056e+05,1,2,0,1,0,34.26,5,10,3
1.85e+05,1.8598e+05,1,1,1,0,0,38,13,12,3
1.9e+05,1.9052e+05,1,2,0,1,0,35.06,6,13,4
1.95e+05,1.9597e+05,1,1,1,0,0,37.3,11,10,4
2e+05,2.0073e+05,1,2,0,1,0,33.54,6,9,4
2.05e+05,2.0598e+05,0,1,0,1,0,36.58,11,12,3
2.1e+05,2.1056e+05,1,2,0,1,0,33.22,5,10,4
2.15e+05,2.1573e+05,1,1,1,0,0,37.06,12,8,4
2.2e+05,2.2056e+05,1,2,0,1,0,33.26,4,8,4
2.25e+05,2.2588e+05,1,1,1,0,0,36.4,11,9,3
2.3e+05,2.3062e+05,1,2,0,1,0,34.24,5,9,4
2.35e+05,2.3595e+05,0,1,0,1,0,34.82,8,9,3
2.4e+05,2.4046e+05,1,2,0,1,0,33.96,4,10,4
2.45e+05,-999,0,1,0,0,1,35.86,9,9,3
2.5e+05,2.5056e+05,1,2,0,1,0,32.7,4,8,3
2.55e+05,2.5584e+05,0,1,0,1,0,35.66,7,9,4
2.6e+05,2.605e+05,1,2,0,1,0,32.96,4,9,4
2.65e+05,2.6584e+05,0,1,0,1,0,34.92,7,9,3
2.7e+05,2.7063e+05,1,2,0,1,0,32.94,4,7,4
2.75e+05,2.7594e+05,0,1,0,1,0,33.94,7,8,3
2.8e+05,2.8056e+05,1,2,0,1,0,32.56,4,8,4
2.85e+05,2.8584e+05,0,1,0,1,0,34.78,7,9,4
2.9e+05,2.9063e+05,1,2,0,1,0,32.42,4,7,4
2.95e+05,-999,0,1,0,0,1,35.4,10,10,4
3e+05,3.0063e+05,1,2,0,1,0,31.98,4,7,3
3.05e+05,-999,0,1,0,0,1,33.34,8,8,3
3.1e+05,3.1073e+05,1,2,0,1,0,31.92,4,6,3
3.15e+05,3.1584e+05,0,1,0,1,0,33.92,7,9,4
3.2e+05,3.2073e+05,1,2,0,1,0,32.12,4,6,4
3.25e+05,3.2584e+05,0,1,0,1,0,33.5,7,9,4
3.3e+05,3.305e+05,1,2,0,1,0,32.76,4,9,4
3.35e+05,3.3594e+05,0,1,0,1,0,34.04,7,8,4
3.4e+05,3.4073e+05,1,2,0,1,0,31.68,4,6,4
